Paper,Author,Notes,Language Justification Given Beyond Data Availabilituy? td means typological diversity,Typologically diverse with definition,Cultural Nuances notes,Cultural Nuances Mentioned?,Cultural Nuances Addressed outside of limitations section?,Any discussion on the impact of model training data in relation to evaluation?,Language Coverage,Language Notes,Task & Dataset Used
Language Models are Few-shot Multilingual Learners,"Winata et al., 2021","k positive and negative samples
k-way few-shot classification -- k ∈ [0, 5, K], where K ≤ 40 is the largest
number of few-shot samples that can be passed to
the model as input and is divisible by 10 without
exceeding the maximum input token limit",Yes,N/A,Not discuessed,No,N/A,No,"English, French, German, Spanish",closely related to English,"Intent detection: SNIPS, MTOP, MultiNLU"
Few-shot Learning with Multilingual Language Models,"Lin et al., 2022",It uses high-quality prompts sourced in English and translated into other languages using automatic translation APIs as one approach,Yes,N/A,Cultural nuances and contextual information are mentioned in the context of the translation quality and the naturalness of handcrafted prompts by native speakers. It acknowledges that machine translation can introduce errors that affect performance and that native speaker translations may capture cultural nuances better,Yes,No,No,"English, Chinese (zh), Spanish (es), Hindi (hi), French (fr), German (de), Russian (ru), Arabic (ar), Vietnamese (vi), Thai (th), Urdu (ur), Swahili (sw), Finnish (fi), Bulgarian (bg), Catalan (ca), Portuguese (pt), Japanese (ja), Italian (it), Korean (ko), Estonian (et), Telugu (te), Basque (eu), Indonesian (id), Malay (my), Haitian Creole (ht), Quechua (qu), Bengali (bn), Tamil (ta)",availability of high-quality translations,"MT: FLORES-101

NLU: XStoryCloze,  XNLI, XWinograd, XCOPA, PAWSX, WMT, ARC-easy, ARC-challenge, OpenBookQA, StoryCloze, "
Language Models are Multilingual Chain-of-Thought Reasoners,"Shi et al., 2022",one example from each of the most frequent languages,Yes td,No,,No,N/A,Yes,"English (EN)
Bengali (BN)
Chinese (ZH)
French (FR)
German (DE)
Japanese (JA)
Russian (RU)
Spanish (ES)
Swahili (SW)
Telugu (TE)
Thai (TH)","typologically diverse languages with different representation levels in standard pretraining datasets. Typologically diverse not defined though. There is also mention of the distribution of language frequency in the training data for models like PaLM, emphasizing the inclusion of underrepresented languages","Arithmetic Reasoning: MGSM
Commonsense Reasoning - XCOPA Dataset
Word-in-Context Disambiguation: XL-WiC "
In-context Examples Selection for Machine Translation,"Agrawal et al., 2022",the top k source language examples with the highest cosine similarity to the target input are selected using multilingual sentence transformers,Yes td,No,,Yes,No,Yes,"English
Italian
Portuguese
Polish
Spanish
French
Chinese
German
Vietnamese
Swahili
Thai
Bengali
Russian
Tamil
Telugu
Estonian
Indonesian
Turkish
Arabic
Hindi
Japanese","availability in datasets + typologically diverse languages

mention of the distribution of language frequency in the training data for models like XGLM and the impact of these distributions on model performance","Natural Language Inference - XNLI Dataset
Commonsense Reasoning - XCOPA Dataset
Story Completion - XStoryCloze Dataset
Pronoun Resolution - XWinograd Dataset
Paraphrase Identification - PAWS-X Dataset
Machine Translation - FLORES-101 Dataset
Machine Translation - WMT Dataset
Commonsense Reasoning - COPA Dataset







"
Multilingual LLMs are Better Cross-lingual In-context Learners with Alignment,"Tanwar et al., 2023",,Yes,N/A,,No,N/A,Yes,"German (de)
English (en)
French (fr)
Japanese (ja)
Spanish (es)
Mandarin (zh)",availability in datasets,"Hate Speech Detection - HatEval
Sentiment Classification: CLS
Sentiment Analysis: MARC"
Boosting Cross-lingual Transferability in Multilingual Models via In-Context Learning,"Kim et al., 2023",In-CLT and Out-CLT,"Yes, td",No,,No,N/A,Yes,"Arabic (ar)
Chinese (zh)
English (en)
German (de)
Hindi (hi)
Romanian (ro)
Russian (ru)
Spanish (es)
Thai (th)
Turkish (tr)
Vietnamese (vi)","availability in datasets

There is mention of the distribution of language frequency in the training data for models like BLOOM and XGLM, and how these distributions impact model performance and cross-lingual transferability

","Question Answering - XQuAD Dataset
Question Answering - MLQA Dataset
Paraphrase Identification - PAWS Dataset
Natural Language Inference - XNLI Dataset
Commonsense Reasoning - XCOPA Dataset






"
Multilingual Large Language Models Are Not (Yet) Code-Switchers,"Zhang et al., 2023",CSW,"Yes, td",No,"Cultural nuances are discussed in the paper as an important aspect of code-switching and multilingual communication. However, there is no explicit connection made between cultural nuances and the specific design of prompts used in the experiments",Yes,No,No,"Spanish
Malayalam
Tamil
Hinglish
English
Hindi
Arabic","availability in datasets
","Summarization: SAMSum
Machine Translation: MixMT
Sentiment Analysis: MixSentiment
Sentiment Analysis: Sentimix
"
MEGA: Multilingual Evaluation of Generative AI,"Ahuja et al., 2023",MEGA,"Yes, td",No,,No,N/A,Yes,"German (De), English (En), Russian (Ru), French (Fr), Ukrainian (Uk), Italian (It), Spanish (Es), Romanian (Ro), Chinese (Zh), Japanese (Ja), Czech (Cs), Bengali, Hindi, Kannada, Tamil, Telugu, Urdu, Gujarati, Malayalam, Oriya, Punjabi, Assamese, Swahili, Haitian Creole, Quechua, Vietnamese, Greek, Arabic, Estonian, Turkish, Korean, Marathi, Burmese, Thai, Basque, Bulgarian, Indonesian.","typologically diverse, The multilingual capabilities of models are traced back to their pre-training data","Translation tasks: WMT22, WMT21, FLORES-200.
Natural Language Inference: RTE, XNLI, Indic-XNLI, GLUECos NLI.
Commonsense Reasoning: XCOPA, XStoryCloze.
Paraphrase Identification: PAWS-X.
Sentiment Analysis: EN-ES-CS dataset.
Question Answering: XQuAD, MLQA, TyDiQA-GoldP, IndicQA.
Sequence Labeling: PAN-X, UDPOS.
Natural Language Generation: XL-Sum.
Responsible AI: Jigsaw, Wino-MT.
Reading Comprehension: BoolQ.
Text Simplification: Asset, Wiki-auto.
Abstractive Summarization: XLSum."
Multilingual Few-Shot Learning via Language Model Retrieval,"Winata et al., 2023",Semantically Similar Retrieval,Yes,N/A,,No,N/A,No,"English, French, German, Spanish.","The rationale is based on demonstrating the model’s ability to leverage semantically similar examples from different languages, rather than on specific characteristics of the languages themselves","Intent detection: SNIPS, Multi-NLU, MTOP.
Topic classification: TREC.
Sentiment analysis: SST2."
Large Pre-trained Language Models with Multilingual Prompt for Japanese Natural Language Tasks,"Song et al., 2023",Data mismatch problem solution,Yes,N/A,No but maybe implicit in data mismatch?,No,N/A,No,"Japanese, English.",,"Japanese version of the semantic textual similarity dataset: JSTS
Japanese version of the natural language inference dataset: JNLI
Japanese version of reading comprehension dataset: JSQuAD
Japanese version of multiple-choice commonsense question answering dataset: JCommonsenseQA
Japanese word segmentation task: KWDLC






"
